npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  7/4/2026 9:51:10 PM ::1 GET /
 HTTP  7/4/2026 9:51:10 PM ::1 Returned 200 in 362 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/main.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/top-words.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 4 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 4 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/tokens.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/modal.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 9 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/layout.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/header.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/connect.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/cards.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/feeds.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 13 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 14 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 14 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 15 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/layout-mgr.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 14 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/presets.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/options-drawer.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/chat-input.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 10 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/filter-modal.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 4 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 5 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 4 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/emote-modal.css
 HTTP  7/4/2026 9:51:11 PM ::1 GET /css/link-modal.css
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 5 ms
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:11 PM ::1 GET /js/app.js
 HTTP  7/4/2026 9:51:11 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:12 PM ::1 GET /install-prompt.js
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 12 ms
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/state.js
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 1 ms
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/config.js
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/utils/settings.js
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/platform/ConnectionManager.js
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/processing.js
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/ui/charts.js
 HTTP  7/4/2026 9:51:12 PM ::1 GET /js/ui/feeds.js
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 6 ms
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 5 ms
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 7 ms
 HTTP  7/4/2026 9:51:12 PM ::1 Returned 200 in 6 ms
